Country,Year,HAQ_Index,Life_Expectancy,Health_Expenditure,Efficiency_Score
Estonia,2005,71.4,73.0276,878.23584,0.08129934665385553
Estonia,2010,77.5,75.8816,1423.4746,0.05444424508874272
Estonia,2015,81.4,77.665,1938.9862,0.041980701048826445
Ethiopia,2005,34.9,54.364,25.625221,1.3619394736146861
Ethiopia,2010,40.4,59.7094,54.435535,0.7421622658801829
Ethiopia,2015,44.2,63.592,62.417717,0.708132275969017
Fiji,2005,45.0,65.9826,241.14156,0.18661237822298238
Fiji,2010,45.4,66.7782,276.69763,0.16407802264153834
Fiji,2015,46.6,66.4798,390.10614,0.11945466943945052
Finland,2005,84.5,78.9711,2656.4458,0.03180941993998146
Finland,2010,87.2,80.0116,3560.7957,0.02448890847627119
Finland,2015,89.6,81.3775,4099.968,0.021853829103056412
France,2005,84.2,80.3367,3135.556,0.026853291728803443
France,2010,85.7,81.4047,4053.723,0.021141059712269438
France,2015,87.9,82.1487,4711.868,0.01865502174509133
Gabon,2005,44.1,62.978,404.7353,0.10896010305995055
Gabon,2010,48.4,64.7148,346.94336,0.1395040389301585
Gabon,2015,51.4,66.3361,380.18396,0.13519770797274033
Gambia,2005,45.6,59.1098,104.382416,0.4368551883298045
Gambia,2010,47.7,61.1675,93.38133,0.5108087451742227
Gambia,2015,49.7,62.9713,63.21495,0.7862064274352824
Georgia,2005,60.7,70.6895,418.11963,0.14517376282955194
Georgia,2010,60.8,71.7318,676.1952,0.08991486482009928
Georgia,2015,62.1,73.241,1043.9668,0.059484650278150614
Germany,2005,83.2,79.254,3264.6426,0.025485178683877983
Germany,2010,84.9,80.0814,4301.946,0.019735254696362996
Germany,2015,86.4,80.5658,5336.0728,0.016191683141954138
Ghana,2005,44.2,59.6381,107.1034,0.4126853115774103
Ghana,2010,47.3,61.2974,184.70592,0.25608275035256045
Ghana,2015,49.7,63.1749,235.84276,0.2107336260820557
Greece,2005,84.4,79.6505,2194.1055,0.0384667008947382
Greece,2010,85.2,80.5727,2678.7488,0.03180589385611671
Greece,2015,87.0,80.7894,2192.7776,0.03967570628229694
Grenada,2005,55.1,73.7003,515.29895,0.10692822098706004
Grenada,2010,57.0,74.7308,560.61273,0.10167446607928435
Grenada,2015,58.3,75.0375,614.0597,0.09494190874274927
Guatemala,2005,51.3,68.167,354.99625,0.14450856875248683
Guatemala,2010,53.2,69.885,406.84518,0.13076227178112323
Guatemala,2015,55.7,70.9148,536.5782,0.10380593173557927
Guinea,2005,37.0,54.4217,60.384907,0.61273589441812
Guinea,2010,37.6,56.4305,55.58871,0.6763963401921002
Guinea,2015,38.6,57.8986,112.098885,0.34433883976633667
Guinea-Bissau,2005,33.3,52.9489,53.80899,0.6188556967897
Guinea-Bissau,2010,35.1,56.9992,66.72216,0.5260621059030464
Guinea-Bissau,2015,36.3,60.0708,140.68385,0.25802535259022263
Guyana,2005,44.7,64.392,213.05664,0.2098033649643588
Guyana,2010,47.0,66.2043,331.55396,0.14175671435201678
Guyana,2015,49.8,67.7193,458.9227,0.1085150069935525
Haiti,2005,34.8,60.3182,81.99726,0.42440442522103783
Haiti,2010,35.9,45.5768,122.58364,0.2928612659894909
Haiti,2015,38.5,63.2239,153.39622,0.2509840203363551
Honduras,2005,49.5,69.1982,240.32411,0.20597184360736842
Honduras,2010,51.8,69.7697,327.85962,0.1579944489656884
Honduras,2015,53.9,71.323,362.63406,0.1486346869899645
Hungary,2005,73.7,72.8649,1364.5994,0.05400852440650348
Hungary,2010,76.1,74.5189,1616.9275,0.04706457154077718
